name,atlasName,atlasId,cohortId
ECMO during hospitalization,[COVID ID180 V1] ECMO during hospitalization,935,180
dialysis during hospitalization,[COVID ID181 V1] dialysis during hospitalization,937,181
Persons with chest pain or angina,[COVID ID182 V1] Persons with chest pain or angina,6,182
Angina during hospitalization,[COVID ID183 V1] Angina during hospitalization,929,183
Persons with hepatic failure,[COVID ID184 V1] Persons with hepatic failure,10,184
Acute pancreatitis events,[COVID ID185 V1] Acute pancreatitis events,11,185
Total cardiovascular disease events,[COVID ID186 V1] Total cardiovascular disease events,245,186
Gastrointestinal bleeding events,[COVID ID187 V1] Gastrointestinal bleeding events,17,187
Cardiovascular-related mortality,[COVID ID188 V1] Cardiovascular-related mortality,19,188
Transient ischemic attack events,[COVID ID189 V1] Transient ischemic attack events,20,189
Stroke (ischemic or hemorrhagic) events,[COVID ID190 V1] Stroke (ischemic or hemorrhagic) events,21,190
Ischemic stroke events,[COVID ID191 V1] Ischemic stroke events,924,191
Hemorrhagic stroke (intracerebral bleeding) events,[COVID ID192 V1] Hemorrhagic stroke (intracerebral bleeding) events,926,192
Acute myocardial infarction events,[COVID ID193 V1] Acute myocardial infarction events,22,193
Bleeding during hospitalization,[COVID ID194 V1] Bleeding during hospitalization,939,194
Incident depression with no prior treatment and no mania or psychoses,[COVID ID195 V1] Incident depression with no prior treatment and no mania or psychoses,927,195
Hospitalization for psychosis,[COVID ID196 V1] Hospitalization for psychosis,928,196
Suicide and suicidal ideation,[COVID ID197 V1] Suicide and suicidal ideation,925,197
Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome),[COVID ID198 V1] Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome),940,198
Acute kidney injury (AKI) using diagnosis codes and change in measurements during hospitlization,Acute kidney injury (AKI) using diagnosis codes and change in measurements during hospitlization,-1,201 
